Title,Year,Source title,Author Keywords,Index Keywords,Affiliations
a minimum two-year follow-up mri evaluation of spinal canal expansion after olif,2025,Indian Spine Journal,Lateral techniques; minimally invasive surgery; OLIF,,"Department of Spine Surgery, HCG Hospital, Ahmedabad, India"
learning curve and complication analysis of oblique lateral interbody fusion in cases with single-segment lumbar tuberculosis: a retrospective single-center consecutive study,2024,BMC Musculoskeletal Disorders,Learning curve; OLIF; Postoperative complication; Spinal tuberculosis,"C reactive protein; ethambutol; polyetheretherketone; pyrazinamide; rifampicin; adult; arthrodesis; Article; bleeding; body mass; bone transplantation; Cobb angle; cohort analysis; computer assisted tomography; debridement; degenerative disease; erythrocyte sedimentation rate; female; fluoroscopy; fracture nonunion; granulation tissue; hospitalization; human; iliac vein; incidence; intracranial aneurysm; laparoscopy; learning curve; low back pain; lumbar tuberculosis; lymphocyte count; major clinical study; male; middle aged; minimally invasive surgery; Mycobacterium tuberculosis; nuclear magnetic resonance imaging; oblique lateral interbody fusion; operation duration; operative blood loss; osteosynthesis; Oswestry Disability Index; percutaneous pedicle screw fixation; peroperative complication; physical tolerance; postoperative complication; psoas muscle; retrospective study; spinal cord injury; spine fusion; spine surgery; surgical infection; tuberculosis; tuberculous spondylitis; visual acuity; wound healing; wound infection; X ray; adverse event; aged; diagnostic imaging; epidemiology; etiology; lumbar vertebra; pedicle screw; procedures; surgery; treatment outcome; Adult; Aged; Blood Loss, Surgical; Female; Humans; Learning Curve; Lumbar Vertebrae; Male; Middle Aged; Operative Time; Pedicle Screws; Postoperative Complications; Retrospective Studies; Spinal Fusion; Treatment Outcome; Tuberculosis, Spinal","Department of Orthopaedics, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China; Chongqing Medical University, Chongqing, Chongqing, China; Department of Orthopaedic Surgery, Chongqing Medical University, Chongqing, Chongqing, China"
a comparative morphometric analysis of operative windows for performing olif among normal and deformity group in lower lumbar spine,2023,Spine Deformity,Adult degenerative scoliosis; Morros classification; OLIF window; Psoas major height; Psoas major width,adult; Article; bare window; Cobb angle; controlled study; dextroscoliosis; disease classification; female; human; levoscoliosis; lumbar spine; major clinical study; male; middle aged; morphometry; nuclear magnetic resonance imaging; operative window; psoas major height; psoas major muscle; psoas major width; psoas window; radiological parameters; retrospective study; scoliosis; spine malformation; supine position; vascular window; diagnostic imaging; lumbar vertebra; lumbosacral region; radiography; Adult; Humans; Lumbar Vertebrae; Lumbosacral Region; Magnetic Resonance Imaging; Radiography; Scoliosis,"Stavya Spine Hospital and Research Institute, Ahmedabad, GJ, India"
biomechanical study of two-level oblique lumbar interbody fusion with different types of lateral instrumentation: a finite element analysis,2023,Frontiers in Medicine,biomechanical study; endplate stress; finite element study; oblique lumbar interbody fusion; Optistruct,adult; anesthesia; Article; biomechanics; finite element analysis; human; in vitro study; incision; lumbar spine; male; nerve ending; operation duration; outcome assessment; physiological stress; prone position; range of motion; rotation; spine fusion,"Department of Orthopaedic Surgery, Soochow University, Suzhou, Jiangsu, China; Department of Orthopaedic Surgery, The First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China; Department of Orthopaedics, Tongji Medical College of Huazhong University of Science and Technology, Wuhan, Hubei, China; Soochow University, Suzhou, Jiangsu, China"
clinical and radiological evaluation of cage subsidence following oblique lumbar interbody fusion combined with anterolateral fixation,2022,BMC Musculoskeletal Disorders,Cage subsidence; Clinical effects; Oblique lumbar interbody fusion; Radiological characteristics; Risk factors,adult; age; aged; Article; body mass; bone density; cage subsidence; clinical assessment; clinical outcome; computer assisted tomography; controlled study; discectomy; disease association; disease severity; dual energy X ray absorptiometry; female; gender; human; major clinical study; male; nuclear magnetic resonance imaging; oblique lumbar interbody fusion; osteoporosis; Oswestry Disability Index; postoperative complication; retrospective study; risk factor; spinal cord atrophy; spine disease; spine fusion; spine instability; spine radiography; spine stabilization; spondylolisthesis; three-dimensional imaging; treatment outcome; vertebral canal stenosis; visual analog scale; adverse event; diagnostic imaging; lumbar vertebra; lumbosacral region; procedures; surgery; Humans; Lumbar Vertebrae; Lumbosacral Region; Postoperative Complications; Retrospective Studies; Spinal Fusion; Treatment Outcome,"Department of Orthopedic Surgery and Orthopedic Research Institute, West China School of Medicine/West China Hospital of Sichuan University, Chengdu, Sichuan, China"
factors affecting slip reduction in oblique lumbar interbody fusion with posterior fixation for degenerative spondylolisthesis,2022,Global Spine Journal,degenerative spondylolisthesis; oblique lumbar interbody fusion; radiological outcome; slip reduction,polyetheretherketone; adult; angular slip; Article; bleeding; body mass; body movement; bone density; bone graft; bone matrix; clinical outcome; computer assisted tomography; facetectomy; female; follow up; human; hypertrophy; laminectomy; lumbar lordosis angle; major clinical study; male; meralgia paresthetica; middle aged; nuclear magnetic resonance imaging; operation duration; osteoarthritis; osteophyte; paresthesia; pelvic incidence; pelvic tilt; posterior lumbar interbody fusion; radiodiagnosis; radiology; retrospective study; sacral slope; sagittal spinopelvic parameter; sagittal vertical axis; sclerosis; slip reduction; smoking; spinal cord; spine stabilization; spine surgery; spondylolisthesis; surgical technique; translational slip,"Department of Orthopaedic Surgery, Ajou University School of Medicine, Suwon, Gyeonggi-do, South Korea"
efficacy of single-position oblique lateral interbody fusion combined with percutaneous pedicle screw fixation in treating degenerative lumbar spondylolisthesis: a cohort study,2022,Frontiers in Neurology,degenerative lumbar spondylolisthesis; minimally invasive spinal fusion; oblique lumbar interbody fusion; single-position; surgical technique,accuracy; adult; aged; Article; clinical article; cohort analysis; controlled study; degenerative lumbar spondylolisthesis; female; hospitalization; human; incidence; lumbar lordosis angle; male; operation duration; operative blood loss; Oswestry Disability Index; paresthesia; retrospective study; spine fusion; spine surgery; spondylolisthesis; treatment outcome; visual analog scale,"Department of Spine Surgery, Lanzhou University, Lanzhou, Gansu, China; Key Laboratory of Bone and Joint Disease Research of Gansu Province, Lanzhou, Gansu, China; Department of Spine Surgery, Xi'an Jiaotong University, Xi'an, Shaanxi, China; Department of Cardiac Surgery, Lanzhou University, Lanzhou, Gansu, China"
clinical and radiologic comparison of anterior-posterior single-position lateral surgery versus mis-tlif for degenerative lumbar spondylolisthesis,2021,Journal of Orthopaedic Science,,C reactive protein; polyetheretherketone; aged; allograft; Article; body mass; case report; clinical evaluation; controlled study; cortical bone; degenerative spondyloilisthesis; female; follow up; human; intermethod comparison; intervertebral disk hernia; leg pain; low back pain; lumbar spine; major clinical study; male; mental health; minimally invasive surgery; minimally invasive transforaminal interbody fusion; multiple sclerosis; oblique lateral interbody fusion with posterior percutaneous screw fixation; operation duration; operative blood loss; paresthesia; pseudarthrosis; social life; spine fusion; spondylolisthesis; stenosis; visual analog scale; walking; diagnostic imaging; lumbar vertebra; retrospective study; treatment outcome; Humans; Lumbar Vertebrae; Minimally Invasive Surgical Procedures; Retrospective Studies; Spinal Fusion; Spondylolisthesis; Treatment Outcome,"Department of Orthopaedic Surgery, Kansai Medical University Medical Center, Moriguchi, Osaka, Japan; Department of Orthopaedic Surgery, Kansai Medical University Hospital, Hirakata, Osaka, Japan; Department of Orthopaedic Surgery, Graduate School of Medicine, Sapporo, Hokkaido, Japan"
oblique lateral interbody fusion combined percutaneous pedicle screw fixation in the surgical treatment of single-segment lumbar tuberculosis: a single-center retrospective comparative study,2020,International Journal of Surgery,Debridement; Internal fixation; Lumbar tuberculosis; Oblique lateral interbody fusion,"C reactive protein; ethambutol; isoniazid; pyrazinamide; rifampicin; abdominal disease; adult; Article; bone graft; clinical effectiveness; Cobb angle; comparative effectiveness; emphysema; erythrocyte sedimentation rate; female; follow up; human; kidney dysfunction; length of stay; liver dysfunction; lumbar spine; major clinical study; male; middle aged; minimally invasive procedure; oblique lateral interbody fusion; operation duration; operative blood loss; Oswestry Disability Index; percutaneous pedicle screw fixation; postoperative period; priority journal; retrospective study; spine fusion; spine stabilization; surgical debridement; time; tuberculous spondylitis; urinary tract infection; visual analog scale; comparative study; debridement; lumbar vertebra; minimally invasive surgery; pedicle screw; procedures; Adult; Debridement; Female; Humans; Lumbar Vertebrae; Male; Middle Aged; Minimally Invasive Surgical Procedures; Operative Time; Pedicle Screws; Retrospective Studies; Spinal Fusion; Tuberculosis, Spinal","Department of Orthopaedics, The First Affiliated Hospital of Chongqing Medical University, Chongqing, China"
pilot study of oblique lumbar interbody fusion using mobile percutaneous pedicle screw and validation by a three-dimensional finite element assessment,2020,Journal of Clinical Neuroscience,Finite element analysis; Load sharing; Lumbar segmental mobility; Oblique lumbar interbody fusion; Pedicle screw,adolescent; adult; aged; Article; clinical article; clinical effectiveness; computer assisted tomography; female; fracture healing; human; low back pain; male; oblique lumbar interbody fusion; pilot study; priority journal; screw loosening; spine fusion; three dimensional finite element analysis; validation study; visual analog scale; case report; clinical trial; devices; finite element analysis; lumbar vertebra; middle aged; pedicle screw; procedures; spine disease; young adult; Adolescent; Adult; Aged; Female; Finite Element Analysis; Humans; Lumbar Vertebrae; Male; Middle Aged; Pedicle Screws; Pilot Projects; Spinal Diseases; Spinal Fusion; Young Adult,"Department of Orthopaedic Surgery, Chiba University, Chiba, Chiba, Japan; Yamanashi Prefectural Industrial Technology Center, Kofu, Yamanashi, Japan; Department of Orthopaedic Surgery, National Hospital Organization Shimoshizu National Hospital, Yotsukaido, Chiba, Japan; Department of Orthopaedic Surgery, Eastern Chiba Medical Center, Togane, Chiba, Japan; Department of Orthopaedic Surgery, University of Tsukuba, Tsukuba, Ibaraki, Japan; Department of Orthopaedic Surgery, St. Marianna University School of Medicine, Kawasaki, Kanagawa, Japan; Department of Orthopaedic Surgery, Toho University Medical Center Sakura Hospital, Sakura, Chiba, Japan; Biostatistics Section, Chiba University Hospital, Chiba, Chiba, Japan"
