,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15
F1,255,8,0,0,0,2,0,0,3,3,0,0,0,1,0
F2,8,111,0,0,1,0,1,0,0,1,0,0,0,0,0
F3,0,0,43,0,0,0,1,2,3,0,0,0,0,0,1
F4,0,0,0,18,0,0,0,1,2,1,0,0,1,0,0
F5,0,1,0,0,27,11,2,1,8,3,0,0,3,1,2
F6,2,0,0,0,11,15,0,0,6,2,0,0,1,1,0
F7,0,1,1,0,2,0,11,0,0,0,0,0,0,0,0
F8,0,0,2,1,1,0,0,7,0,3,0,0,4,0,0
F9,3,0,3,2,8,6,0,0,24,6,0,0,5,0,1
F10,3,1,0,1,3,2,0,3,6,28,4,0,14,5,4
F11,0,0,0,0,0,0,0,0,0,4,10,0,4,6,3
F12,0,0,0,0,0,0,0,0,0,0,0,6,6,6,5
F13,0,0,0,1,3,1,0,4,5,14,4,6,28,10,10
F14,1,0,0,0,1,1,0,0,0,5,6,6,10,23,10
F15,0,0,1,0,2,0,0,0,1,4,3,5,10,10,24
